model,gamma,k,fp_len,score_avg,score_std
XGBoost,2,300,128,0.8543229532460419,0.0005819381263807
XGBoost,2,450,128,0.854864159523355,0.0008774890358312
MLP,2,300,128,0.8423944722348162,0.0006498680273225
MLP,2,450,128,0.8418723309236051,0.0009156423127598
XGBoost,4,300,128,0.856927287211291,0.0005242685329332
XGBoost,4,450,128,0.8572971937801536,0.0005657402635594
MLP,4,300,128,0.8445135774468749,0.0007149833543408
MLP,4,450,128,0.8445841719479269,0.0008291276925344
XGBoost,8,300,128,0.8581956732390414,0.0003736417715779
XGBoost,8,450,128,0.8583789144043981,0.0004587381625146
MLP,8,450,128,0.8467923604725109,0.0005216064924672
MLP,8,300,128,0.8471086816224211,0.0008043684396133
XGBoost,16,300,128,0.8590371598047373,0.0003467816780012
XGBoost,16,450,128,0.8590818660092532,0.0003044124635144
MLP,16,450,128,0.8482695596481289,0.0006341249116481
MLP,16,300,128,0.8483832591907507,0.0007435560731877
XGBoost,32,300,128,0.859814150998907,0.0003824074138337
XGBoost,32,450,128,0.859716561259392,0.000336675037438
MLP,32,450,128,0.8494396684065091,0.0009235165136048
MLP,32,300,128,0.8498542988867674,0.0009743484476313
LogisticRegression,2,300,128,0.8084182207439806,0.000481973258373493
LogisticRegression,4,300,128,0.8116061616295728,0.0008527797165009945
LogisticRegression,8,300,128,0.8176900273008656,0.0011412819130690412
LogisticRegression,16,300,128,0.8220817947207262,0.000493445558043724
LogisticRegression,32,300,128,0.8240257838154676,0.0005824623526803241
LogisticRegression,2,450,128,0.8086762069449358,0.0004412267825028294
LogisticRegression,4,450,128,0.8119654756076308,0.0008574283674332874
LogisticRegression,8,450,128,0.8180432214040596,0.001030571927109065
LogisticRegression,16,450,128,0.8222445683045929,0.0004654536711438353
LogisticRegression,32,450,128,0.8241455617422766,0.0004643464285601035
RandomForest,2,450,128,0.8457235634607448,0.0010257162062595414
RandomForest,4,450,128,0.8488254705985747,0.0004860472129983249
RandomForest,8,450,128,0.8500324523102387,0.0005516499362591916
RandomForest,16,450,128,0.8508524655646241,0.0007362056882586258
RandomForest,32,450,128,0.8512026025592958,0.000587679852674608
RandomForest,2,300,128,0.8451738544235473,0.00065340678183747
RandomForest,4,300,128,0.8485798005279124,0.0007495516516638812
RandomForest,8,300,128,0.8500017982436618,0.0006727704865273855
RandomForest,16,300,128,0.8507019883086816,0.0006757993390388364
RandomForest,32,300,128,0.851528180845037,0.0007402737698808333
GradientBoosting,2,450,128,0.8655325281250212,0.0007784447809964192
GradientBoosting,4,450,128,0.8683027201287871,0.000645343060666384
GradientBoosting,2,300,128,0.8653544086484676,0.0004872885986457518
GradientBoosting,4,300,128,0.868100022140934,0.00042018568024001113
GradientBoosting,8,450,128,0.8700809445390348,0.0006575557321999975
GradientBoosting,8,300,128,0.8700287464384026,0.0004777442447177487
GradientBoosting,16,300,128,0.8712019283357938,0.0007268796102441539
GradientBoosting,16,450,128,0.8711988448241135,0.0006135233441951674
GradientBoosting,32,450,128,0.8717762498312084,0.0005535365358372796
GradientBoosting,32,300,128,0.8718560543195943,0.00037392479499302793
