PID,age,sex,marital_status,job,employment_since,credit_hist,credit_amount,purpose,duration,installment_rate,debtors,residence_since,property,installment_other,housing,existing_credits,liable_people,monthly_rent_or_mortgage,tel,online_banking,foreign,checking_account,savings,default
406827,33,male,single,unskilled - resident,3,delay,7378,radio/television,24,4,guarantor,4,unknown /no property,none,own,2,1,200,registered,yes,no,124,17,1
13257437,39,female,single,unskilled - resident,<1 year,existing credits paid,3331,car (new),30,3,none,4,life insurance,none,own,2,1,204,registered,yes,yes,486,21,2
14303477,54,male,divorced/separated,management/self-employed/highly qualified,2,delay,804,car (new),61,4,none,3,life insurance,none,own,1,1,187,none,yes,yes,132,229,1
16201589,54,female,single,management/self-employed/highly qualified,4,existing credits paid,1818,furniture/equipment,14,4,none,4,unknown /no property,none,own,1,1,205,none,no,yes,176,45,1
11855923,59,male,single,skilled employee / official,3,critical account,4670,car (new),27,4,none,1,car or other,none,own,1,1,317,none,yes,yes,88,74,2
16281211,35,male,single,skilled employee / official,4,existing credits paid,5389,car (new),8,4,none,4,unknown /no property,bank,own,1,1,916,registered,yes,yes,88,unknown,2
13833815,49,male,single,management/self-employed/highly qualified,1,delay,3162,car (used),16,4,none,3,unknown /no property,none,rent,1,1,181,registered,yes,yes,no checking account,unknown,1
5465472,34,male,single,unskilled - resident,8,existing credits paid,2930,car (new),14,1,none,2,real estate,none,own,2,1,193,none,yes,yes,178,98,2
5211207,40,male,single,skilled employee / official,17,critical account,14012,car (new),23,4,none,4,car or other,bank,own,1,2,215,none,no,yes,-161,29,1
10615437,72,male,married/widowed,skilled employee / official,2,critical account,2819,furniture/equipment,41,2,none,4,unknown /no property,none,for free,1,1,227,none,yes,yes,-223,48,2
10977670,69,male,married/widowed,skilled employee / official,<1 year,existing credits paid,2091,business,23,4,none,2,car or other,bank,own,1,2,190,registered,yes,no,-172,unknown,1
8127059,50,male,single,unemployed/unskilled - non-resident,7,critical account,3048,business,7,2,none,4,real estate,none,own,1,1,206,none,yes,yes,no checking account,2049,1
