person_id,age,gender,region,annual_income,credit_score,loan_amount,monthly_expense,savings_balance,investment_amount,employment_status,marital_status,home_ownership,credit_card_usage,num_credit_cards,loan_purpose,employment_years,debt_to_income_ratio,late_payment_history,savings_rate,housing_market_exposure,stock_market_exposure,bankruptcy_history,monthly_loan_installment,loan_default
9035570,69,Male,East,40663,673,17948,2954,30556,52062,Employed,Married,Own,17,3,Personal,18,0.7,4,0.22,151916,139413,Yes,1043,0
6940334,32,Male,South,40846,620,19179,3317,640,39806,Retired,Married,Rent,93,2,Education,8,0.75,0,0.08,97816,65506,No,1249,0
4637617,89,Female,West,63616,694,10770,2991,7481,25240,Retired,Divorced,Rent,45,3,Education,11,0.52,5,0.19,79589,252477,No,1318,0
3815284,78,Female,South,71665,474,26270,358,42917,23403,Retired,Married,Mortgage,77,5,Education,27,0.73,9,0.13,-490,235911,No,1361,0
6927938,38,Male,North,84271,476,22271,2143,21588,58687,Retired,Divorced,Mortgage,48,3,Business,14,0.88,1,0.05,157730,256835,No,833,1
3410727,41,Male,East,41930,581,17644,1008,37843,64061,Self-Employed,Widowed,Mortgage,56,3,Personal,12,0.55,9,0.18,87078,177592,No,971,0
534027,20,Male,South,83230,716,34935,2917,4071,79305,Self-Employed,Single,Own,54,1,Car,17,0.72,0,0.19,99457,252049,No,1356,1
7676395,39,Female,North,57558,627,20016,6440,49189,22427,Retired,Married,Mortgage,45,1,Personal,34,0.47,4,0.07,56096,122332,No,982,0
4546009,70,Male,West,67656,542,24881,3557,33314,32302,Retired,Married,Own,59,2,Personal,0,0.45,7,0.14,113823,202485,No,812,0
6979073,19,Female,South,27840,721,27993,1534,11836,16710,Employed,Widowed,Own,21,5,Car,35,0.23,1,0.13,36789,213707,No,1221,0
8859773,47,Female,East,4434,751,16797,4633,12383,42632,Retired,Married,Rent,59,4,Car,4,0.6,8,0.04,-6552,345254,No,1004,0
5394309,55,Female,West,59407,587,10243,1434,37277,50322,Unemployed,Married,Own,30,5,Personal,21,0.44,0,0.17,57887,135407,No,1679,0
7370729,19,Male,North,59238,713,27982,2956,22321,24385,Retired,Married,Mortgage,96,4,Education,4,0.81,9,0.01,122977,147377,No,1350,1
3889129,81,Female,West,31122,492,38564,2316,10799,52976,Unemployed,Divorced,Own,43,5,Car,13,0.19,1,0.18,26499,156477,No,323,0
5597777,77,Female,East,19687,538,34131,5760,49265,34285,Retired,Single,Rent,53,4,Car,30,0.2,2,0.1,120899,177229,No,1413,1
9002585,38,Female,South,86120,665,34300,1482,25024,56432,Self-Employed,Single,Mortgage,77,1,Education,24,0.19,4,0.25,157912,126897,No,995,0
1649291,50,Male,South,72718,414,30513,3046,16341,48751,Retired,Married,Rent,71,3,Business,11,0.5,8,0.24,16918,300796,No,2048,0
3585648,75,Male,South,48169,780,1275,339,31559,36624,Employed,Divorced,Own,8,3,Car,0,0.84,5,0.29,28393,166292,No,1225,0
3610590,39,Female,North,36742,680,-2493,801,28935,52078,Unemployed,Divorced,Rent,60,4,Car,21,0.23,2,0.17,109965,269686,No,1071,0
2097159,66,Female,North,35506,726,25888,3746,2493,21095,Self-Employed,Divorced,Rent,57,4,Business,25,0.88,5,0.25,75953,310602,No,1056,0
5511095,76,Female,East,32397,628,39789,3399,6612,73759,Self-Employed,Divorced,Rent,33,5,Car,33,0.14,7,0.19,148542,146914,Yes,1579,0
7217079,59,Male,North,19914,669,24602,3231,112,70362,Employed,Widowed,Rent,16,5,Car,18,0.83,9,0.16,14306,69666,No,859,1
6415685,77,Female,North,27355,544,9568,1482,23828,71390,Retired,Divorced,Rent,86,1,Business,38,0.15,3,0.09,92879,400973,No,1849,0
9849056,32,Other,South,60982,483,27727,1114,33693,73920,Retired,Single,Mortgage,40,1,Car,6,0.87,3,0.15,144854,282181,No,886,0
9759635,79,Female,South,103453,732,21650,9,12224,48418,Employed,Widowed,Own,5,4,Business,17,0.6,4,0.28,114814,184812,No,760,0
8564623,79,Female,North,88005,747,8405,1003,16275,20410,Employed,Single,Own,2,1,Personal,36,0.11,7,0.1,140355,201334,No,636,0
5802794,64,Male,South,41274,635,20787,1990,29248,39984,Employed,Widowed,Own,71,5,Business,9,0.56,3,0.25,72604,261844,No,236,1
1174084,79,Male,South,54206,634,11222,1793,26588,36902,Employed,Single,Rent,26,3,Education,34,0.24,4,0.11,80152,294274,Yes,2069,0
4617685,68,Female,West,54436,652,20804,513,1739,31969,Self-Employed,Widowed,Mortgage,60,3,Business,38,0.62,5,0.22,62024,177082,No,1445,0
8404198,72,Female,South,65077,576,35349,585,30116,28820,Self-Employed,Single,Mortgage,96,1,Business,34,0.43,4,0.15,142755,367487,No,1107,0
8234383,81,Female,North,53421,611,11271,653,13189,29914,Self-Employed,Married,Rent,16,4,Business,3,0.31,7,0.29,168453,283112,No,1151,0
1581497,20,Female,South,77937,801,13227,3888,22610,46700,Self-Employed,Widowed,Mortgage,59,2,Home,12,0.11,3,0.27,192905,180885,No,725,0
3179417,68,Female,West,88595,639,39497,3495,27363,92347,Employed,Single,Own,46,5,Business,4,0.15,4,0.07,83222,154321,No,1262,0
5142804,24,Male,North,106383,578,21454,4021,25664,62216,Unemployed,Single,Rent,58,5,Personal,27,0.48,4,0.08,127326,137014,No,585,0
566999,38,Female,West,7936,553,-6664,4771,19933,62854,Retired,Married,Own,5,2,Education,21,0.34,1,0.23,183952,372766,No,724,1
7023741,56,Male,East,49185,483,26687,3370,-3251,55615,Unemployed,Single,Rent,96,4,Car,31,0.53,5,0.04,95544,224620,Yes,1418,0
1371052,35,Male,South,53607,603,9271,5048,10517,64263,Self-Employed,Married,Mortgage,47,4,Personal,37,0.55,7,0.22,143591,143384,No,1180,0
8685643,21,Female,North,84474,484,26549,3614,338,19654,Unemployed,Single,Own,69,5,Education,1,0.78,1,0.07,77783,305246,No,10,0
8097145,77,Female,South,64122,638,25652,1772,26269,11301,Unemployed,Widowed,Own,32,3,Education,10,0.56,0,0.2,60121,233370,No,1431,0
5335832,31,Male,North,69227,647,31798,3055,-3177,39695,Employed,Divorced,Rent,23,5,Home,21,0.36,9,0.21,49016,217159,Yes,900,0
2834578,26,Male,North,4514,425,16811,2423,41441,59874,Employed,Divorced,Mortgage,17,3,Car,12,0.73,8,0.06,-35055,172746,No,1234,0
8710335,70,Female,North,34985,484,5927,2690,9310,55579,Employed,Divorced,Own,38,2,Personal,38,0.49,1,0.2,110182,80817,No,1437,0
8288387,19,Female,North,78180,598,29963,3264,10338,53134,Employed,Widowed,Rent,24,2,Personal,28,0.49,9,0.18,102445,117308,No,983,0
4608926,77,Female,East,33571,554,25444,875,43792,48187,Self-Employed,Divorced,Rent,11,2,Business,37,0.22,4,0.26,110618,80746,No,1033,0
2005103,88,Female,West,25758,610,13783,2098,35585,49562,Unemployed,Divorced,Own,7,2,Business,38,0.6,7,0.14,109175,212361,No,987,0
4532312,61,Male,East,54350,595,27257,5714,26488,38496,Self-Employed,Married,Mortgage,7,4,Education,1,0.69,5,0.06,101479,123507,No,306,0
116839,25,Male,West,70515,772,25082,1639,6018,9204,Unemployed,Single,Own,20,2,Car,31,0.19,5,0.22,54523,47658,No,1068,0
9290479,64,Female,North,57714,579,23549,4841,25996,29433,Retired,Widowed,Own,73,3,Home,9,0.38,1,0.11,113317,245558,No,1215,0
5694671,52,Female,North,50332,729,10150,1811,5615,68413,Employed,Widowed,Mortgage,43,1,Personal,5,0.89,5,0.11,91564,52997,No,670,0
2834195,53,Male,West,57127,685,5158,4972,27547,18965,Employed,Widowed,Mortgage,5,3,Home,21,0.49,9,0.13,225071,122018,No,498,0
3401433,67,Male,North,63126,587,5911,2520,-1248,45574,Unemployed,Single,Mortgage,14,4,Car,26,0.8,1,0.18,113371,107297,No,1472,0
1672083,21,Male,West,61158,814,18510,2872,20501,63106,Self-Employed,Married,Mortgage,60,5,Car,33,0.18,5,0.01,70593,174267,Yes,1152,0
7663549,19,Female,East,43093,808,5822,3067,28855,36381,Retired,Widowed,Mortgage,56,2,Home,9,0.51,4,0.28,138245,288268,No,1538,0
9652937,23,Male,South,25721,795,25312,3024,12824,46774,Unemployed,Married,Rent,66,4,Business,27,0.76,7,0.11,130996,142610,No,1143,0
9751369,71,Male,East,64821,728,12441,1342,23368,49263,Retired,Widowed,Mortgage,55,3,Business,26,0.54,4,0.3,142000,244375,No,1004,0
2157720,21,Female,South,66088,681,5442,2818,39946,80483,Employed,Divorced,Rent,55,5,Home,32,0.77,5,0.26,169046,162913,No,706,0
4096138,71,Male,East,35033,686,8669,2849,23970,43200,Retired,Single,Own,56,5,Home,6,0.23,8,0.13,152247,346327,No,2129,0
1510645,66,Female,South,101181,772,29369,2421,12424,6901,Employed,Married,Own,82,5,Education,10,0.39,6,0.18,63078,201662,No,1274,0
921799,35,Female,East,64722,541,13627,5131,19198,72795,Unemployed,Divorced,Own,29,5,Education,23,0.79,3,0.14,96258,160776,No,386,1
9969731,61,Female,East,72731,868,17574,3238,5917,40499,Unemployed,Widowed,Mortgage,91,1,Car,16,0.53,9,0.13,83498,285136,No,730,0
9918992,51,Female,South,84418,576,1694,5457,20533,53267,Retired,Widowed,Own,46,5,Home,15,0.28,4,0.25,67868,347615,No,462,0
9973559,79,Female,West,73932,708,6960,5584,50513,49102,Self-Employed,Divorced,Rent,63,1,Car,10,0.52,4,0.06,112994,217145,No,1677,0
3886764,31,Female,East,103974,693,17816,2294,19087,40270,Unemployed,Divorced,Rent,76,4,Home,33,0.12,4,0.15,52628,269991,No,738,0
9573713,65,Male,South,33468,478,30098,4030,55475,40761,Self-Employed,Single,Mortgage,32,4,Personal,1,0.14,1,0.29,120997,188744,No,1447,0
6200662,32,Male,North,46081,473,24111,4741,-8586,48394,Retired,Divorced,Mortgage,18,3,Personal,20,0.21,3,0.17,38458,254298,No,1098,0
323949,89,Male,South,93315,612,22723,1086,12442,49215,Self-Employed,Divorced,Own,75,5,Business,38,0.67,3,0.04,121715,206303,No,1286,0
5711783,79,Male,South,133953,712,16570,5320,-884,55153,Unemployed,Married,Rent,83,1,Home,32,0.11,7,0.14,20193,260116,No,664,0
1872783,57,Other,East,67616,636,12951,881,-276,47770,Employed,Married,Rent,65,5,Home,22,0.54,6,0.17,112798,252087,No,1687,0
8560007,70,Male,West,35639,694,17153,1925,43224,21500,Retired,Divorced,Own,53,4,Business,34,0.66,3,0.23,95385,391483,Yes,377,0
8583617,41,Female,East,58278,682,14394,368,7069,68199,Self-Employed,Divorced,Own,20,3,Home,2,0.57,5,0.18,73756,209412,No,1609,0
7067519,43,Male,West,50448,684,12318,3183,29626,37907,Employed,Widowed,Rent,28,5,Personal,5,0.69,5,0.04,126553,73449,Yes,115,0
6619648,77,Female,North,86339,543,19080,3109,32220,50662,Employed,Widowed,Mortgage,21,5,Education,2,0.25,0,0.04,65766,82473,No,1471,1
8162697,58,Female,East,89641,823,28131,2169,1739,62571,Unemployed,Widowed,Rent,43,5,Personal,15,0.76,5,0.03,62050,132358,No,1177,1
3092617,46,Female,North,107823,629,16452,994,-15763,26966,Unemployed,Single,Rent,55,1,Car,17,0.4,4,0.12,91429,150498,No,-60,0
7127877,32,Male,West,80686,617,37513,2417,16344,60899,Unemployed,Divorced,Mortgage,51,2,Personal,11,0.15,2,0.23,71699,98580,No,307,0
9919463,62,Male,South,97007,596,12522,40,22705,55176,Retired,Widowed,Own,43,5,Home,30,0.5,1,0.16,100159,257887,No,478,0
8935653,82,Other,North,66690,377,17529,3224,23868,39529,Self-Employed,Married,Mortgage,25,5,Education,16,0.48,9,0.23,215265,183906,No,411,0
5501278,88,Male,North,22548,772,20253,3393,25485,51101,Retired,Widowed,Mortgage,51,3,Car,0,0.2,3,0.16,99258,104056,No,946,0
2766429,26,Female,East,76154,836,21212,4153,-980,44978,Self-Employed,Married,Own,45,5,Education,3,0.87,8,0.06,145743,315058,No,836,0
174368,18,Male,North,43122,640,22981,1116,-5104,22720,Self-Employed,Widowed,Own,58,2,Home,12,0.59,6,0.01,63693,182374,No,828,1
5689935,25,Male,North,85327,630,11477,1974,32614,56743,Retired,Divorced,Rent,80,3,Car,2,0.79,7,0.26,72206,-4568,Yes,678,0
5511564,80,Female,East,82045,754,28376,3148,5879,17583,Unemployed,Divorced,Own,53,2,Personal,26,0.61,4,0.05,126081,178123,No,1383,0
8709258,28,Male,South,83976,636,13315,3865,39092,53377,Retired,Widowed,Mortgage,28,1,Car,37,0.75,5,0.26,25252,270656,No,716,0
8620200,25,Male,East,78940,821,20240,2101,31632,40655,Self-Employed,Single,Rent,95,1,Education,18,0.84,1,0.1,221706,272550,No,1565,0
7608928,52,Male,West,4726,700,20410,2187,19384,46441,Unemployed,Single,Own,6,2,Car,27,0.49,9,0.15,116675,86086,No,914,0
9130923,52,Male,West,33792,535,30416,4981,34674,9378,Unemployed,Single,Mortgage,96,4,Home,23,0.71,9,0.23,98979,168279,No,956,1
6696560,50,Female,East,10775,611,27018,2372,12118,67010,Self-Employed,Divorced,Own,81,5,Business,2,0.39,0,0.19,105076,207694,No,864,1
6469067,22,Female,South,43009,760,16208,3971,24948,38113,Unemployed,Married,Mortgage,88,2,Business,10,0.83,4,0.02,28656,280161,Yes,1527,0
6128910,58,Female,North,22704,640,22938,2762,24937,43336,Retired,Single,Mortgage,81,3,Home,0,0.26,9,0.02,63732,313483,No,1023,0
5344036,45,Other,North,50989,643,32827,2646,34507,48331,Unemployed,Widowed,Mortgage,63,1,Personal,31,0.66,0,0.11,123689,390820,No,1407,1
3183779,24,Male,West,37745,451,22351,4396,7961,37482,Unemployed,Married,Mortgage,90,2,Home,20,0.45,4,0.05,147964,-112535,No,526,0
7390819,89,Male,North,82568,488,27629,2734,13061,51529,Retired,Divorced,Mortgage,41,5,Car,31,0.9,1,0.02,42724,315655,No,1288,0
8167696,29,Male,West,96006,758,30546,2593,22319,58964,Unemployed,Married,Rent,30,3,Business,2,0.19,6,0.01,83070,305215,No,728,0
7918512,51,Male,South,61343,684,34734,6269,20012,61526,Retired,Divorced,Mortgage,52,3,Car,5,0.23,1,0.13,51215,72171,No,72,0
3503122,50,Female,North,59774,678,26396,3113,-5500,69680,Employed,Widowed,Rent,99,3,Business,5,0.22,7,0.06,71494,125286,Yes,1060,0
6762221,65,Male,East,49799,606,17502,3070,26419,72114,Self-Employed,Divorced,Mortgage,60,4,Home,11,0.82,2,0.04,40313,381309,No,2121,1
3229596,40,Female,East,18208,546,10891,3751,49550,91800,Employed,Widowed,Rent,84,3,Car,24,0.68,1,0.02,54948,127541,No,766,0
5316085,79,Female,South,46231,679,29611,2366,6127,27341,Retired,Divorced,Own,25,2,Education,35,0.53,4,0.06,65330,341923,No,957,1
7886840,54,Male,East,59007,722,10750,-71,29918,55366,Self-Employed,Single,Own,71,3,Car,24,0.84,1,0.05,112031,114672,No,1302,0
4382772,61,Male,South,60369,583,10329,3152,6571,45354,Retired,Single,Rent,92,2,Education,35,0.56,1,0.13,-7600,220901,Yes,935,0
