person_id,age,gender,region,annual_income,credit_score,loan_amount,monthly_expense,savings_balance,investment_amount,employment_status,marital_status,home_ownership,credit_card_usage,num_credit_cards,loan_purpose,employment_years,debt_to_income_ratio,late_payment_history,savings_rate,housing_market_exposure,stock_market_exposure,bankruptcy_history,monthly_loan_installment,loan_default
FIN_2819172cf6,69,Male,East,40663,673,17948,2954,30556,52062,Employed,Married,Own,17,3,Personal,18,0.7,4,0.22,151916,139413,Yes,1043,0
FIN_d68e8752bb,32,Male,South,40846,620,19179,3317,640,39806,Retired,Married,Rent,93,2,Education,8,0.75,0,0.08,97816,65506,No,1249,0
FIN_2c7b980c76,89,Female,West,63616,694,10770,2991,7481,25240,Retired,Divorced,Rent,45,3,Education,11,0.52,5,0.19,79589,252477,No,1318,0
FIN_7cad174df4,78,Female,South,71665,474,26270,358,42917,23403,Retired,Married,Mortgage,77,5,Education,27,0.73,9,0.13,-490,235911,No,1361,0
FIN_9a479283a6,38,Male,North,84271,476,22271,2143,21588,58687,Retired,Divorced,Mortgage,48,3,Business,14,0.88,1,0.05,157730,256835,No,833,1
FIN_cc7999e866,41,Male,East,41930,581,17644,1008,37843,64061,Self-Employed,Widowed,Mortgage,56,3,Personal,12,0.55,9,0.18,87078,177592,No,971,0
FIN_2fa05f697d,20,Male,South,83230,716,34935,2917,4071,79305,Self-Employed,Single,Own,54,1,Car,17,0.72,0,0.19,99457,252049,No,1356,1
FIN_1cbfe57186,39,Female,North,57558,627,20016,6440,49189,22427,Retired,Married,Mortgage,45,1,Personal,34,0.47,4,0.07,56096,122332,No,982,0
FIN_88517368e4,70,Male,West,67656,542,24881,3557,33314,32302,Retired,Married,Own,59,2,Personal,0,0.45,7,0.14,113823,202485,No,812,0
FIN_a391e0c5f8,19,Female,South,27840,721,27993,1534,11836,16710,Employed,Widowed,Own,21,5,Car,35,0.23,1,0.13,36789,213707,No,1221,0
FIN_3e71c49b04,47,Female,East,4434,751,16797,4633,12383,42632,Retired,Married,Rent,59,4,Car,4,0.6,8,0.04,-6552,345254,No,1004,0
FIN_953b1c2406,55,Female,West,59407,587,10243,1434,37277,50322,Unemployed,Married,Own,30,5,Personal,21,0.44,0,0.17,57887,135407,No,1679,0
FIN_5dce4fb87e,19,Male,North,59238,713,27982,2956,22321,24385,Retired,Married,Mortgage,96,4,Education,4,0.81,9,0.01,122977,147377,No,1350,1
FIN_58fd157bd8,81,Female,West,31122,492,38564,2316,10799,52976,Unemployed,Divorced,Own,43,5,Car,13,0.19,1,0.18,26499,156477,No,323,0
FIN_dc94455a67,77,Female,East,19687,538,34131,5760,49265,34285,Retired,Single,Rent,53,4,Car,30,0.2,2,0.1,120899,177229,No,1413,1
FIN_1f35130900,38,Female,South,86120,665,34300,1482,25024,56432,Self-Employed,Single,Mortgage,77,1,Education,24,0.19,4,0.25,157912,126897,No,995,0
FIN_a7750e5614,50,Male,South,72718,414,30513,3046,16341,48751,Retired,Married,Rent,71,3,Business,11,0.5,8,0.24,16918,300796,No,2048,0
FIN_1836bb2456,75,Male,South,48169,780,1275,339,31559,36624,Employed,Divorced,Own,8,3,Car,0,0.84,5,0.29,28393,166292,No,1225,0
FIN_83408a74af,39,Female,North,36742,680,-2493,801,28935,52078,Unemployed,Divorced,Rent,60,4,Car,21,0.23,2,0.17,109965,269686,No,1071,0
FIN_9658d986d0,66,Female,North,35506,726,25888,3746,2493,21095,Self-Employed,Divorced,Rent,57,4,Education,25,0.88,5,0.25,75953,310602,No,1056,0
